target,best_model_path,best_model,model,backtest_folds,backtest_mean_level_mae,backtest_std_level_mae,backtest_mean_delta_mae,backtest_mean_level_rmse,backtest_mean_delta_rmse,backtest_mean_level_r2,backtest_mean_delta_r2,backtest_total_rows,final_test_coverage_rows,final_test_n,final_test_level_mae,final_test_level_rmse,final_test_level_r2,final_test_delta_mae,final_test_delta_rmse,final_test_delta_r2,holdout_coverage_rows,holdout_n,holdout_level_mae,holdout_level_rmse,holdout_level_r2,holdout_delta_mae,holdout_delta_rmse,holdout_delta_r2,selection_split,eval_split,level_mae,delta_mae
latent_flight_1,/Users/benfogerty/Desktop/EPlaneCapstone/CapstoneEPlane/ml_workspace/soh_forecast/output/multihorizon_runner_plane_166/latent_flight_1/best_model/lstm_sequence_no_latent_tune3.pt,lstm_sequence_no_latent_tune3,lstm_sequence_no_latent_tune3,3,0.1922446980504878,0.2329466840495299,0.1922446980504878,0.29479334853145317,0.29479334853145317,0.9643815019443114,-0.4314237967415602,330,164,164,0.4378323098598001,0.7375444067429019,0.980656176608816,0.4378323098598001,0.7375444067429019,-0.35426082507274703,36.0,36.0,0.04825880391779139,0.06775280636896079,0.9232375810034162,0.04825880391779139,0.06775280636896079,-0.738677840455565,backtest_valid_mean,backtest,0.1922446980504878,0.1922446980504878
latent_flight_5,/Users/benfogerty/Desktop/EPlaneCapstone/CapstoneEPlane/ml_workspace/soh_forecast/output/multihorizon_runner_plane_166/latent_flight_5/best_model/lstm_sequence_no_latent_tune0.pt,lstm_sequence_no_latent_tune0,lstm_sequence_no_latent_tune0,3,0.6637469014179617,0.5523848121340854,0.6637469014179617,0.8111603360364344,0.8111603360364344,0.6616757511045067,-13.907461202280013,324,162,162,1.7974458404263585,2.8905899865644598,0.6594468048643529,1.7974458404263585,2.8905899865644598,-0.5337337050515463,32.0,32.0,0.2441307887846147,0.27082501523784164,-0.24361819152837016,0.2441307887846147,0.27082501523784164,-4.024019460345838,backtest_valid_mean,backtest,0.6637469014179617,0.6637469014179617
latent_flight_10,/Users/benfogerty/Desktop/EPlaneCapstone/CapstoneEPlane/ml_workspace/soh_forecast/output/multihorizon_runner_plane_166/latent_flight_10/best_model/gru_sequence_with_latent_tune0.pt,gru_sequence_with_latent_tune0,gru_sequence_with_latent_tune0,3,1.1402889134591163,0.07768048910621268,1.1402889134591163,1.2851830465182785,1.2851830465182785,0.22268925529515515,-67.15282796990745,318,158,158,4.137446927378683,6.064390564943834,-0.24557434181610494,4.137446927378683,6.064390564943834,-1.3097150197468403,10.0,10.0,13.073941523120345,13.074628817431098,-10223.408329620012,13.073941523120345,13.074628817431098,-46117.5672569375,backtest_valid_mean,backtest,1.1402889134591163,1.1402889134591163
latent_flight_15,/Users/benfogerty/Desktop/EPlaneCapstone/CapstoneEPlane/ml_workspace/soh_forecast/output/multihorizon_runner_plane_166/latent_flight_15/best_model/gru_sequence_with_latent_tune1.pt,gru_sequence_with_latent_tune1,gru_sequence_with_latent_tune1,3,1.1653677109568659,0.04600415016669053,1.1653677109568659,1.3498362774576602,1.3498362774576602,0.1121560778666763,-21.05822539019172,306,154,154,3.810955512363979,5.54599887031352,-0.22625640237056288,3.810955512363979,5.54599887031352,-0.7704488324701322,,,,,,,,,backtest_valid_mean,backtest,1.1653677109568659,1.1653677109568659
latent_flight_20,/Users/benfogerty/Desktop/EPlaneCapstone/CapstoneEPlane/ml_workspace/soh_forecast/output/multihorizon_runner_plane_166/latent_flight_20/best_model/gru_sequence_with_latent_tune2.pt,gru_sequence_with_latent_tune2,gru_sequence_with_latent_tune2,3,1.1868053030471548,0.04781291692671452,1.1868053030471548,1.382578356951301,1.382578356951301,0.09364692226096154,-6.127845291317464,300,150,150,4.279529314765658,5.919551540611323,-0.16873976973608595,4.279529314765658,5.919551540611323,-0.6105036584432926,,,,,,,,,backtest_valid_mean,backtest,1.1868053030471548,1.1868053030471548
